Pressure_GPa,Tc_K
1.230769230769230660e+01,1.501141594735641149e+02
1.244147157190635333e+01,1.501142728086211093e+02
1.257525083612040007e+01,1.501143857057212472e+02
1.270903010033444680e+01,1.501144981683745527e+02
1.284280936454849353e+01,1.501146102000478777e+02
1.297658862876254204e+01,1.501147218041655833e+02
1.311036789297658878e+01,1.501148329841102793e+02
1.324414715719063551e+01,1.501149437432234777e+02
1.337792642140468224e+01,1.501150540848062747e+02
1.351170568561872898e+01,1.501151640121200899e+02
1.364548494983277571e+01,1.501152735283871209e+02
1.377926421404682245e+01,1.501153826367912814e+02
1.391304347826086918e+01,1.501154913404784566e+02
1.404682274247491591e+01,1.501155996425574131e+02
1.418060200668896265e+01,1.501157075461002535e+02
1.431438127090300938e+01,1.501158150541429848e+02
1.444816053511705611e+01,1.501159221696862289e+02
1.458193979933110285e+01,1.501160288956955355e+02
1.471571906354514958e+01,1.501161352351022060e+02
1.484949832775919809e+01,1.501162411908036347e+02
1.498327759197324305e+01,1.501163467656639909e+02
1.511705685618728978e+01,1.501164519625145317e+02
1.525083612040133652e+01,1.501165567841543123e+02
1.538461538461538325e+01,1.501166612333506691e+02
1.551839464882942998e+01,1.501167653128394477e+02
1.565217391304347672e+01,1.501168690253258546e+02
1.578595317725752523e+01,1.501169723734846571e+02
1.591973244147157374e+01,1.501170753599607508e+02
1.605351170568561869e+01,1.501171779873696437e+02
1.618729096989966365e+01,1.501172802582977113e+02
1.632107023411371216e+01,1.501173821753029074e+02
1.645484949832775712e+01,1.501174837409149916e+02
1.658862876254180563e+01,1.501175849576360122e+02
1.672240802675585059e+01,1.501176858279407043e+02
1.685618729096989910e+01,1.501177863542769444e+02
1.698996655518394405e+01,1.501178865390659780e+02
1.712374581939799256e+01,1.501179863847030731e+02
1.725752508361204107e+01,1.501180858935576907e+02
1.739130434782608248e+01,1.501181850679739398e+02
1.752508361204013454e+01,1.501182839102707192e+02
1.765886287625417950e+01,1.501183824227427692e+02
1.779264214046822801e+01,1.501184806076601888e+02
1.792642140468227296e+01,1.501185784672691739e+02
1.806020066889632147e+01,1.501186760037923307e+02
1.819397993311036643e+01,1.501187732194290447e+02
1.832775919732441494e+01,1.501188701163557653e+02
1.846153846153845990e+01,1.501189666967262895e+02
1.859531772575250841e+01,1.501190629626721602e+02
1.872909698996655337e+01,1.501191589163029221e+02
1.886287625418060188e+01,1.501192545597064338e+02
1.899665551839464683e+01,1.501193498949492096e+02
1.913043478260869534e+01,1.501194449240766460e+02
1.926421404682274030e+01,1.501195396491133920e+02
1.939799331103678881e+01,1.501196340720635476e+02
1.953177257525083377e+01,1.501197281949110049e+02
1.966555183946488228e+01,1.501198220196197042e+02
1.979933110367892724e+01,1.501199155481339460e+02
1.993311036789297575e+01,1.501200087823785623e+02
2.006688963210702425e+01,1.501201017242592854e+02
2.020066889632106921e+01,1.501201943756629191e+02
2.033444816053511772e+01,1.501202867384576223e+02
2.046822742474916623e+01,1.501203788144932219e+02
2.060200668896321119e+01,1.501204706056013549e+02
2.073578595317725615e+01,1.501205621135957244e+02
2.086956521739130466e+01,1.501206533402723835e+02
2.100334448160534961e+01,1.501207442874100479e+02
2.113712374581939812e+01,1.501208349567700111e+02
2.127090301003344308e+01,1.501209253500967975e+02
2.140468227424749159e+01,1.501210154691180776e+02
2.153846153846153655e+01,1.501211053155449235e+02
2.167224080267558506e+01,1.501211948910722072e+02
2.180602006688963002e+01,1.501212841973785430e+02
2.193979933110367853e+01,1.501213732361267148e+02
2.207357859531772348e+01,1.501214620089637606e+02
2.220735785953177199e+01,1.501215505175212002e+02
2.234113712374581695e+01,1.501216387634153193e+02
2.247491638795986546e+01,1.501217267482471982e+02
2.260869565217391042e+01,1.501218144736030240e+02
2.274247491638795893e+01,1.501219019410542330e+02
2.287625418060200744e+01,1.501219891521576812e+02
2.301003344481605239e+01,1.501220761084559285e+02
2.314381270903010090e+01,1.501221628114772955e+02
2.327759197324414586e+01,1.501222492627360339e+02
2.341137123745819437e+01,1.501223354637326111e+02
2.354515050167224288e+01,1.501224214159538519e+02
2.367892976588628784e+01,1.501225071208729958e+02
2.381270903010033280e+01,1.501225925799500089e+02
2.394648829431438131e+01,1.501226777946316133e+02
2.408026755852842626e+01,1.501227627663515705e+02
2.421404682274247477e+01,1.501228474965307953e+02
2.434782608695651973e+01,1.501229319865774414e+02
2.448160535117056824e+01,1.501230162378871569e+02
2.461538461538461320e+01,1.501231002518431410e+02
2.474916387959866171e+01,1.501231840298164002e+02
2.488294314381270667e+01,1.501232675731658617e+02
2.501672240802675518e+01,1.501233508832384018e+02
2.515050167224080013e+01,1.501234339613691304e+02
2.528428093645484864e+01,1.501235168088814760e+02
2.541806020066889360e+01,1.501235994270873277e+02
2.555183946488294211e+01,1.501236818172872063e+02
2.568561872909698707e+01,1.501237639807702919e+02
2.581939799331103558e+01,1.501238459188146237e+02
2.595317725752508409e+01,1.501239276326873551e+02
2.608695652173912904e+01,1.501240091236446119e+02
